,Unnamed: 0,BUS_USEROD_ID,GRANT_CARD_CODE,LINE_CODE,VEHICLE_CODE,BANCIID,ON_STATIONID,ON_STATIONNAME,ON_STATIONNAME_RELI,ON_STATION_TIME,ON_STATION_TIME_RELI,OFF_STATIONID,OFF_STATIONNAME,OFF_STATIONNAME_RELI,OFF_STATION_TIME,OFF_STATION_TIME_RELI,STATE,LOC_TREND,DATASOURCE,on_hour
0,369101,BUS_20160411_6190083,43120579,973,59701,1,16,草桥,1.0,2016-04-11 09:49:16,1.0,2,大瓦窑村,1.0,2016/4/11 8:45:38,1,-1,1,DoubleIC,9
1,369102,BUS_20160411_6190084,12993360,973,59701,1,9,丰台路口西,1.0,2016-04-11 09:20:56,1.0,2,大瓦窑村,1.0,2016/4/11 8:45:40,1,-1,1,DoubleIC,9
2,369103,BUS_20160411_6190085,51671731,973,59701,1,5,五里店,1.0,2016-04-11 08:57:07,0.8,7,大井,1.0,2016/4/11 8:57:07,1,1,1,DoubleIC,8
3,369104,BUS_20160411_6190086,65678697,973,59701,1,3,大瓦窑南站,1.0,2016-04-11 08:45:39,0.9,8,丰体时代花园,1.0,2016/4/11 9:08:09,1,1,1,DoubleIC,8
4,369105,BUS_20160411_6190087,12993360,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,8,丰体时代花园,1.0,2016/4/11 9:08:17,1,1,1,DoubleIC,8
5,369106,BUS_20160411_6190088,11457306,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,8,丰体时代花园,1.0,2016/4/11 9:17:31,1,1,1,DoubleIC,8
6,369107,BUS_20160411_6190089,44981360,973,59701,1,5,五里店,1.0,2016-04-11 08:57:07,0.8,8,丰体时代花园,1.0,2016/4/11 9:17:32,1,1,1,DoubleIC,8
7,369108,BUS_20160411_6190090,18629681,973,59701,1,3,大瓦窑南站,1.0,2016-04-11 08:45:39,0.9,8,丰体时代花园,1.0,2016/4/11 9:17:33,1,1,1,DoubleIC,8
8,369109,BUS_20160411_6190091,15523142,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,8,丰体时代花园,1.0,2016/4/11 9:17:34,1,1,1,DoubleIC,8
9,369110,BUS_20160411_6190092,18629699,973,59701,1,3,大瓦窑南站,1.0,2016-04-11 08:45:39,0.9,8,丰体时代花园,1.0,2016/4/11 9:17:35,1,1,1,DoubleIC,8
10,369111,BUS_20160411_6190093,13795634,973,59701,1,5,五里店,1.0,2016-04-11 08:57:07,0.8,8,丰体时代花园,1.0,2016/4/11 9:17:42,1,1,1,DoubleIC,8
11,369112,BUS_20160411_6190094,48889280,973,59701,1,6,五里店东站,1.0,2016-04-11 08:57:07,0.9,8,丰体时代花园,1.0,2016/4/11 9:17:43,1,1,1,DoubleIC,8
12,369113,BUS_20160411_6190095,74212975,973,59701,1,4,五里店西站,1.0,2016-04-11 08:45:39,0.8,8,丰体时代花园,1.0,2016/4/11 9:17:51,1,1,1,DoubleIC,8
13,369114,BUS_20160411_6190096,18890025,973,59701,1,6,五里店东站,1.0,2016-04-11 08:57:07,0.9,8,丰体时代花园,1.0,2016/4/11 9:17:53,1,1,1,DoubleIC,8
14,369115,BUS_20160411_6190097,49910622,973,59701,1,4,五里店西站,1.0,2016-04-11 08:45:39,0.8,9,丰台路口西,1.0,2016/4/11 9:17:56,1,1,1,DoubleIC,8
15,369116,BUS_20160411_6190098,30714424,973,59701,1,1,大瓦窑公交场站,1.0,2016-04-11 08:45:39,0.9,9,丰台路口西,1.0,2016/4/11 9:18:22,1,1,1,DoubleIC,8
16,369117,BUS_20160411_6190099,31123665,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:20:18,1,1,1,DoubleIC,8
17,369118,BUS_20160411_6190100,61075823,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:20:29,1,1,1,DoubleIC,8
18,369119,BUS_20160411_6190101,18630370,973,59701,1,5,五里店,1.0,2016-04-11 08:57:07,0.8,9,丰台路口西,1.0,2016/4/11 9:20:30,1,1,1,DoubleIC,8
19,369120,BUS_20160411_6190102,71796520,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:20:32,1,1,1,DoubleIC,8
20,369121,BUS_20160411_6190103,12992796,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:20:50,1,1,1,DoubleIC,8
21,369122,BUS_20160411_6190104,87354717,973,59701,1,4,五里店西站,1.0,2016-04-11 08:45:39,0.8,9,丰台路口西,1.0,2016/4/11 9:23:31,1,1,1,DoubleIC,8
22,369123,BUS_20160411_6190105,89110685,973,59701,1,6,五里店东站,1.0,2016-04-11 08:57:07,0.9,9,丰台路口西,1.0,2016/4/11 9:23:31,1,1,1,DoubleIC,8
23,369124,BUS_20160411_6190106,45553977,973,59701,1,1,大瓦窑公交场站,1.0,2016-04-11 08:45:39,0.9,9,丰台路口西,1.0,2016/4/11 9:23:33,1,1,1,DoubleIC,8
24,369125,BUS_20160411_6190107,75699089,973,59701,1,4,五里店西站,1.0,2016-04-11 08:45:39,0.8,9,丰台路口西,1.0,2016/4/11 9:23:33,1,1,1,DoubleIC,8
25,369126,BUS_20160411_6190108,18774575,973,59701,1,4,五里店西站,1.0,2016-04-11 08:45:39,0.8,9,丰台路口西,1.0,2016/4/11 9:23:34,1,1,1,DoubleIC,8
26,369127,BUS_20160411_6190109,85988285,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:23:35,1,1,1,DoubleIC,8
27,369128,BUS_20160411_6190110,48415578,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:23:35,1,1,1,DoubleIC,8
28,369129,BUS_20160411_6190111,18681630,973,59701,1,4,五里店西站,1.0,2016-04-11 08:45:39,0.8,9,丰台路口西,1.0,2016/4/11 9:23:36,1,1,1,DoubleIC,8
29,369130,BUS_20160411_6190112,18630275,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:23:36,1,1,1,DoubleIC,8
30,369131,BUS_20160411_6190113,18630276,973,59701,1,2,大瓦窑村,1.0,2016-04-11 08:45:39,1.0,9,丰台路口西,1.0,2016/4/11 9:23:37,1,1,1,DoubleIC,8
